agency_cd,site_no,datetime,tz_cd,gage_height,approval_gage,discharge,approval_discharge
USGS,5325000,42445.00,CDT,9.17,A,10500,A
USGS,5325000,42445.01,CDT,9.17,A,10500,A
USGS,5325000,42445.02,CDT,9.17,A,10500,A
USGS,5325000,42445.03,CDT,9.17,A,10500,A
USGS,5325000,42445.04,CDT,9.17,A,10500,A
USGS,5325000,42445.05,CDT,9.19,A,10500,A
USGS,5325000,42445.06,CDT,9.19,A,10500,A
USGS,5325000,42445.07,CDT,9.2,A,10500,A
USGS,5325000,42445.08,CDT,9.18,A,10500,A
USGS,5325000,42445.09,CDT,9.19,A,10500,A
USGS,5325000,42445.10,CDT,9.19,A,10500,A
USGS,5325000,42445.11,CDT,9.19,A,10500,A
USGS,5325000,42445.13,CDT,9.19,A,10500,A
USGS,5325000,42445.14,CDT,9.2,A,10500,A
USGS,5325000,42445.15,CDT,9.19,A,10500,A
USGS,5325000,42445.16,CDT,9.2,A,10500,A
USGS,5325000,42445.17,CDT,9.2,A,10500,A
USGS,5325000,42445.18,CDT,9.19,A,10500,A
USGS,5325000,42445.19,CDT,9.21,A,10600,A
USGS,5325000,42445.20,CDT,9.2,A,10500,A
USGS,5325000,42445.21,CDT,9.19,A,10500,A
USGS,5325000,42445.22,CDT,9.2,A,10500,A
USGS,5325000,42445.23,CDT,9.19,A,10500,A
USGS,5325000,42445.24,CDT,9.18,A,10500,A
USGS,5325000,42445.25,CDT,9.2,A,10500,A
USGS,5325000,42445.26,CDT,9.18,A,10500,A
USGS,5325000,42445.27,CDT,9.19,A,10500,A
USGS,5325000,42445.28,CDT,9.22,A,10600,A
USGS,5325000,42445.29,CDT,9.2,A,10500,A
USGS,5325000,42445.30,CDT,9.2,A,10500,A
USGS,5325000,42445.31,CDT,9.21,A,10600,A
USGS,5325000,42445.32,CDT,9.2,A,10500,A
USGS,5325000,42445.33,CDT,9.2,A,10500,A
USGS,5325000,42445.34,CDT,9.21,A,10600,A
USGS,5325000,42445.35,CDT,9.19,A,10500,A
USGS,5325000,42445.36,CDT,9.21,A,10600,A
USGS,5325000,42445.38,CDT,9.2,A,10500,A
USGS,5325000,42445.39,CDT,9.22,A,10600,A
USGS,5325000,42445.40,CDT,9.2,A,10500,A
USGS,5325000,42445.41,CDT,9.19,A,10500,A
USGS,5325000,42445.42,CDT,9.22,A,10600,A
USGS,5325000,42445.43,CDT,9.2,A,10500,A
USGS,5325000,42445.44,CDT,9.19,A,10500,A
USGS,5325000,42445.45,CDT,9.2,A,10500,A
USGS,5325000,42445.46,CDT,9.21,A,10600,A
USGS,5325000,42445.47,CDT,9.22,A,10600,A
USGS,5325000,42445.48,CDT,9.24,A,10600,A
USGS,5325000,42445.49,CDT,9.23,A,10600,A
USGS,5325000,42445.50,CDT,9.23,A,10600,A
USGS,5325000,42445.51,CDT,9.24,A,10600,A
USGS,5325000,42445.52,CDT,9.25,A,10600,A
USGS,5325000,42445.53,CDT,9.25,A,10600,A
USGS,5325000,42445.54,CDT,9.25,A,10600,A
USGS,5325000,42445.55,CDT,9.25,A,10600,A
USGS,5325000,42445.56,CDT,9.24,A,10600,A
USGS,5325000,42445.57,CDT,9.26,A,10600,A
USGS,5325000,42445.58,CDT,9.24,A,10600,A
USGS,5325000,42445.59,CDT,9.24,A,10600,A
USGS,5325000,42445.60,CDT,9.23,A,10600,A
USGS,5325000,42445.61,CDT,9.22,A,10600,A
USGS,5325000,42445.63,CDT,9.22,A,10600,A
USGS,5325000,42445.64,CDT,9.23,A,10600,A
USGS,5325000,42445.65,CDT,9.23,A,10600,A
USGS,5325000,42445.66,CDT,9.23,A,10600,A
USGS,5325000,42445.67,CDT,9.24,A,10600,A
USGS,5325000,42445.68,CDT,9.24,A,10600,A
USGS,5325000,42445.69,CDT,9.23,A,10600,A
USGS,5325000,42445.70,CDT,9.23,A,10600,A
USGS,5325000,42445.71,CDT,9.24,A,10600,A
USGS,5325000,42445.72,CDT,9.23,A,10600,A
USGS,5325000,42445.73,CDT,9.24,A,10600,A
USGS,5325000,42445.74,CDT,9.23,A,10600,A
USGS,5325000,42445.75,CDT,9.23,A,10600,A
USGS,5325000,42445.76,CDT,9.23,A,10600,A
USGS,5325000,42445.77,CDT,9.23,A,10600,A
USGS,5325000,42445.78,CDT,9.22,A,10600,A
USGS,5325000,42445.80,CDT,9.21,A,10600,A
USGS,5325000,42445.81,CDT,9.21,A,10600,A
USGS,5325000,42445.82,CDT,9.21,A,10600,A
USGS,5325000,42445.83,CDT,9.2,A,10500,A
USGS,5325000,42445.84,CDT,9.21,A,10600,A
USGS,5325000,42445.85,CDT,9.2,A,10500,A
USGS,5325000,42445.86,CDT,9.21,A,10600,A
USGS,5325000,42445.88,CDT,9.2,A,10500,A
USGS,5325000,42445.89,CDT,9.2,A,10500,A
USGS,5325000,42445.90,CDT,9.19,A,10500,A
USGS,5325000,42445.91,CDT,9.2,A,10500,A
USGS,5325000,42445.92,CDT,9.2,A,10500,A
USGS,5325000,42445.93,CDT,9.2,A,10500,A
USGS,5325000,42445.94,CDT,9.2,A,10500,A
USGS,5325000,42445.95,CDT,9.19,A,10500,A
USGS,5325000,42445.96,CDT,9.2,A,10500,A
USGS,5325000,42445.97,CDT,9.19,A,10500,A
USGS,5325000,42445.98,CDT,9.19,A,10500,A
USGS,5325000,42445.99,CDT,9.2,A,10500,A
USGS,5325000,42446.00,CDT,9.19,A,10500,A
USGS,5325000,42446.01,CDT,9.19,A,10500,A
USGS,5325000,42446.02,CDT,9.19,A,10500,A
USGS,5325000,42446.03,CDT,9.19,A,10500,A
USGS,5325000,42446.04,CDT,9.2,A,10500,A
USGS,5325000,42446.05,CDT,9.2,A,10500,A
USGS,5325000,42446.06,CDT,9.19,A,10500,A
USGS,5325000,42446.07,CDT,9.19,A,10500,A
USGS,5325000,42446.08,CDT,9.2,A,10500,A
USGS,5325000,42446.10,CDT,9.18,A,10500,A
USGS,5325000,42446.11,CDT,9.19,A,10500,A
USGS,5325000,42446.13,CDT,9.19,A,10500,A
