# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-06-21 16:24:19 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05325000 MINNESOTA RIVER AT MANKATO, MN
# -----------------------------------------------------------------------------------
#
# Data provided for site 05325000
#            TS   parameter     Description
#        301759       63160     Stream water level elevation above NAVD 1988, in feet
#         74622       00065     Gage height, feet
#         74623       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	74622_00065	74622_00065_cd	74623_00060	74623_00060_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	05325000	2016-03-16 00:00	CDT	9.17	A	10500	A
USGS	05325000	2016-03-16 00:15	CDT	9.17	A	10500	A
USGS	05325000	2016-03-16 00:30	CDT	9.17	A	10500	A
USGS	05325000	2016-03-16 00:45	CDT	9.17	A	10500	A
USGS	05325000	2016-03-16 01:00	CDT	9.17	A	10500	A
USGS	05325000	2016-03-16 01:15	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 01:30	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 01:45	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 02:00	CDT	9.18	A	10500	A
USGS	05325000	2016-03-16 02:15	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 02:30	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 02:45	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 03:00	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 03:15	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 03:30	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 03:45	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 04:00	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 04:15	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 04:30	CDT	9.21	A	10600	A
USGS	05325000	2016-03-16 04:45	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 05:00	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 05:15	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 05:30	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 05:45	CDT	9.18	A	10500	A
USGS	05325000	2016-03-16 06:00	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 06:15	CDT	9.18	A	10500	A
USGS	05325000	2016-03-16 06:30	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 06:45	CDT	9.22	A	10600	A
USGS	05325000	2016-03-16 07:00	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 07:15	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 07:30	CDT	9.21	A	10600	A
USGS	05325000	2016-03-16 07:45	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 08:00	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 08:15	CDT	9.21	A	10600	A
USGS	05325000	2016-03-16 08:30	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 08:45	CDT	9.21	A	10600	A
USGS	05325000	2016-03-16 09:00	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 09:15	CDT	9.22	A	10600	A
USGS	05325000	2016-03-16 09:30	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 09:45	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 10:00	CDT	9.22	A	10600	A
USGS	05325000	2016-03-16 10:15	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 10:30	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 10:45	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 11:00	CDT	9.21	A	10600	A
USGS	05325000	2016-03-16 11:15	CDT	9.22	A	10600	A
USGS	05325000	2016-03-16 11:30	CDT	9.24	A	10600	A
USGS	05325000	2016-03-16 11:45	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 12:00	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 12:15	CDT	9.24	A	10600	A
USGS	05325000	2016-03-16 12:30	CDT	9.25	A	10600	A
USGS	05325000	2016-03-16 12:45	CDT	9.25	A	10600	A
USGS	05325000	2016-03-16 13:00	CDT	9.25	A	10600	A
USGS	05325000	2016-03-16 13:15	CDT	9.25	A	10600	A
USGS	05325000	2016-03-16 13:30	CDT	9.24	A	10600	A
USGS	05325000	2016-03-16 13:45	CDT	9.26	A	10600	A
USGS	05325000	2016-03-16 14:00	CDT	9.24	A	10600	A
USGS	05325000	2016-03-16 14:15	CDT	9.24	A	10600	A
USGS	05325000	2016-03-16 14:30	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 14:45	CDT	9.22	A	10600	A
USGS	05325000	2016-03-16 15:00	CDT	9.22	A	10600	A
USGS	05325000	2016-03-16 15:15	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 15:30	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 15:45	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 16:00	CDT	9.24	A	10600	A
USGS	05325000	2016-03-16 16:15	CDT	9.24	A	10600	A
USGS	05325000	2016-03-16 16:30	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 16:45	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 17:00	CDT	9.24	A	10600	A
USGS	05325000	2016-03-16 17:15	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 17:30	CDT	9.24	A	10600	A
USGS	05325000	2016-03-16 17:45	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 18:00	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 18:15	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 18:30	CDT	9.23	A	10600	A
USGS	05325000	2016-03-16 18:45	CDT	9.22	A	10600	A
USGS	05325000	2016-03-16 19:15	CDT	9.21	A	10600	A
USGS	05325000	2016-03-16 19:30	CDT	9.21	A	10600	A
USGS	05325000	2016-03-16 19:45	CDT	9.21	A	10600	A
USGS	05325000	2016-03-16 20:00	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 20:15	CDT	9.21	A	10600	A
USGS	05325000	2016-03-16 20:30	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 20:45	CDT	9.21	A	10600	A
USGS	05325000	2016-03-16 21:00	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 21:15	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 21:30	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 21:45	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 22:00	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 22:15	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 22:30	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 22:45	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 23:00	CDT	9.20	A	10500	A
USGS	05325000	2016-03-16 23:15	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 23:30	CDT	9.19	A	10500	A
USGS	05325000	2016-03-16 23:45	CDT	9.20	A	10500	A
USGS	05325000	2016-03-17 00:00	CDT	9.19	A	10500	A
USGS	05325000	2016-03-17 00:15	CDT	9.19	A	10500	A
USGS	05325000	2016-03-17 00:30	CDT	9.19	A	10500	A
USGS	05325000	2016-03-17 00:45	CDT	9.19	A	10500	A
USGS	05325000	2016-03-17 01:00	CDT	9.20	A	10500	A
USGS	05325000	2016-03-17 01:15	CDT	9.20	A	10500	A
USGS	05325000	2016-03-17 01:30	CDT	9.19	A	10500	A
USGS	05325000	2016-03-17 01:45	CDT	9.19	A	10500	A
USGS	05325000	2016-03-17 02:00	CDT	9.20	A	10500	A
USGS	05325000	2016-03-17 02:30	CDT	9.18	A	10500	A
USGS	05325000	2016-03-17 02:45	CDT	9.19	A	10500	A
USGS	05325000	2016-03-17 03:00	CDT	9.19	A	10500	A
USGS	05325000	2016-03-17 03:15	CDT	9.19	A	10500	A
USGS	05325000	2016-03-17 03:30	CDT	9.18	A	10500	A
USGS	05325000	2016-03-17 03:45	CDT	9.19	A	10500	A
USGS	05325000	2016-03-17 04:00	CDT	9.18	A	10500	A
USGS	05325000	2016-03-17 04:30	CDT	9.18	A	10500	A
USGS	05325000	2016-03-17 04:45	CDT	9.15	A	10500	A
USGS	05325000	2016-03-17 05:00	CDT	9.17	A	10500	A
USGS	05325000	2016-03-17 05:30	CDT	9.16	A	10500	A
USGS	05325000	2016-03-17 05:45	CDT	9.16	A	10500	A
USGS	05325000	2016-03-17 06:00	CDT	9.16	A	10500	A
USGS	05325000	2016-03-17 06:15	CDT	9.16	A	10500	A
USGS	05325000	2016-03-17 06:45	CDT	9.16	A	10500	A
USGS	05325000	2016-03-17 07:00	CDT	9.16	A	10500	A
USGS	05325000	2016-03-17 07:15	CDT	9.16	A	10500	A
USGS	05325000	2016-03-17 07:30	CDT	9.15	A	10500	A
USGS	05325000	2016-03-17 07:45	CDT	9.16	A	10500	A
USGS	05325000	2016-03-17 08:00	CDT	9.15	A	10500	A
USGS	05325000	2016-03-17 08:15	CDT	9.15	A	10500	A
USGS	05325000	2016-03-17 08:30	CDT	9.14	A	10400	A
USGS	05325000	2016-03-17 08:45	CDT	9.15	A	10500	A
USGS	05325000	2016-03-17 09:00	CDT	9.15	A	10500	A
