DateTime,SSC,Percent_Fines,Q
42460.45,305,75,12187.84
42462.71,332,67,13374.31
42493.48,360,77,16415.96
42523.50,246,75,13655.26
42530.73,173,79,9249.85
42535.46,188,77,7658.37
42537.59,565,79,15901.34
42542.65,332,72,21106.89
42549.39,189,79,8921.19
42584.50,128,85,7057.14
42635.78,1620,82,23326.72
42636.56,930,77,27655.43
42641.37,344,59,33161.07
42842.89,195,80,9793.17
42845.88,204,76,10609.88
42856.99,296,79,14039.07
42857.78,344,69,15901.34
42859.71,352,71,18614.12
42876.83,418,76,19138.06
42878.69,365,71,23949.59
42948.71,83,91,2701.82
42966.81,781,90,7315.8
