agency_cd,site_no,datetime,tz_cd,discharge,approval_discharge,gage_height,approval_gage
USGS,5331000,42297.00,CDT,5780,A,3.29,A
USGS,5331000,42297.01,CDT,5650,A,3.28,A
USGS,5331000,42297.02,CDT,5710,A,3.28,A
USGS,5331000,42297.03,CDT,5710,A,3.28,A
USGS,5331000,42297.04,CDT,5790,A,3.3,A
USGS,5331000,42297.05,CDT,5720,A,3.29,A
USGS,5331000,42297.06,CDT,5920,A,3.3,A
USGS,5331000,42297.07,CDT,6160,A,3.29,A
USGS,5331000,42297.08,CDT,6040,A,3.29,A
USGS,5331000,42297.09,CDT,6230,A,3.29,A
USGS,5331000,42297.10,CDT,6560,A,3.3,A
USGS,5331000,42297.11,CDT,6680,A,3.3,A
USGS,5331000,42297.13,CDT,6550,A,3.29,A
USGS,5331000,42297.14,CDT,6750,A,3.3,A
USGS,5331000,42297.15,CDT,6620,A,3.3,A
USGS,5331000,42297.16,CDT,6420,A,3.29,A
USGS,5331000,42297.17,CDT,6550,A,3.29,A
USGS,5331000,42297.18,CDT,6820,A,3.31,A
USGS,5331000,42297.19,CDT,6560,A,3.3,A
USGS,5331000,42297.20,CDT,6560,A,3.3,A
USGS,5331000,42297.21,CDT,6560,A,3.31,A
USGS,5331000,42297.22,CDT,6560,A,3.3,A
USGS,5331000,42297.23,CDT,6880,A,3.31,A
USGS,5331000,42297.24,CDT,6500,A,3.31,A
USGS,5331000,42297.25,CDT,6490,A,3.3,A
USGS,5331000,42297.26,CDT,5920,A,3.3,A
USGS,5331000,42297.27,CDT,5990,A,3.31,A
USGS,5331000,42297.28,CDT,5920,A,3.31,A
USGS,5331000,42297.29,CDT,5530,A,3.3,A
USGS,5331000,42297.30,CDT,5070,A,3.28,A
USGS,5331000,42297.31,CDT,5070,A,3.27,A
USGS,5331000,42297.32,CDT,5400,A,3.29,A
USGS,5331000,42297.33,CDT,5390,A,3.28,A
USGS,5331000,42297.34,CDT,5460,A,3.29,A
USGS,5331000,42297.35,CDT,5840,A,3.29,A
USGS,5331000,42297.36,CDT,6040,A,3.29,A
USGS,5331000,42297.38,CDT,5840,A,3.29,A
USGS,5331000,42297.39,CDT,5270,A,3.29,A
USGS,5331000,42297.40,CDT,4750,A,3.28,A
USGS,5331000,42297.41,CDT,4760,A,3.29,A
USGS,5331000,42297.42,CDT,4700,A,3.31,A
USGS,5331000,42297.43,CDT,5350,A,3.31,A
USGS,5331000,42297.44,CDT,4940,A,3.28,A
USGS,5331000,42297.45,CDT,4820,A,3.29,A
USGS,5331000,42297.46,CDT,5320,A,3.27,A
USGS,5331000,42297.47,CDT,5260,A,3.28,A
USGS,5331000,42297.48,CDT,5010,A,3.28,A
USGS,5331000,42297.49,CDT,5670,A,3.32,A
USGS,5331000,42297.50,CDT,5840,A,3.29,A
USGS,5331000,42297.51,CDT,5600,A,3.31,A
USGS,5331000,42297.52,CDT,5780,A,3.29,A
USGS,5331000,42297.53,CDT,5330,A,3.28,A
USGS,5331000,42297.54,CDT,5850,A,3.3,A
USGS,5331000,42297.55,CDT,5440,A,3.32,A
