DateTime,SSC,Percent_Fines,Q
42451.65,47,92,27500
42461.58,130,90,29466.64729
42492.64,124,89,36264.49641
42502.62,119,89,27923.67527
42522.54,212,93,25592.38214
42537.63,297,94,26848.68114
42544.61,225,83,32747.23959
42558.55,51,96,12673.59794
42576.49,161,87,46627.44235
42597.69,259,94,33264.75201
42846.72,86,89,33022.30516
42858.65,107,83,43069.36751
42877.66,199,85,44194.81131
42933.79,44,94,11826.19073
42948.66,13,96,8725.225554
42964.83,26,93,13934.94857
42968.80,111,96,23791.78247
42970.65,333,95,26385.68928
43024.86,104,71,49100.02991
